date,pea_valo,pea_pl,pee_valo,pee_pl,total_valo,total_pl,total_pl_pct
2026-06-04,14488.47,3588.47,4125.0,375.0,18613.47,3963.47,27.05
2026-06-05,14374.84,3474.84,4125.0,375.0,18499.84,3849.84,26.28
2026-06-08,14327.16,3427.16,4125.0,375.0,18452.16,3802.16,25.95
2026-06-09,14095.58,3195.58,4125.0,375.0,18220.58,3570.58,24.37
2026-06-10,14085.64,3185.64,4125.0,375.0,18210.64,3560.64,24.3
2026-06-11,14143.81,3243.81,4125.0,375.0,18268.81,3618.81,24.7
2026-06-12,14376.44,3476.44,4125.0,375.0,18501.44,3851.44,26.29
2026-06-15,14526.09,3626.09,4125.0,375.0,18651.09,4001.09,27.31
2026-06-16,14489.37,3589.37,4125.0,375.0,18614.37,3964.37,27.06
2026-06-17,14439.87,3539.87,4125.0,375.0,18564.87,3914.87,26.72
2026-06-18,14493.9,3593.9,4125.0,375.0,18618.9,3968.9,27.09
2026-06-19,14524.9,3624.9,4125.0,375.0,18649.9,3999.9,27.3
2026-06-22,14500.7,3600.7,4125.0,375.0,18625.7,3975.7,27.14
2026-06-23,14324.6,3424.6,4125.0,375.0,18449.6,3799.6,25.94
2026-06-24,14379.7,3479.7,4125.0,375.0,18504.7,3854.7,26.31
2026-06-25,14301.2,3401.2,4125.0,375.0,18426.2,3776.2,25.78
2026-06-26,14251.4,3351.4,4125.0,375.0,18376.4,3726.4,25.44
2026-06-29,14285.8,3385.8,4125.0,375.0,18410.8,3760.8,25.67
2026-06-30,14439.1,3539.1,4125.0,375.0,18564.1,3914.1,26.72
2026-07-01,14432.9,3532.9,4125.0,375.0,18557.9,3907.9,26.68
2026-07-02,14326.3,3426.3,4125.0,375.0,18451.3,3801.3,25.95
2026-07-03,14376.4,3476.4,4125.0,375.0,18501.4,3851.4,26.29
2026-07-06,14441.2,3541.2,4125.0,375.0,18566.2,3916.2,26.73
2026-07-07,14275.5,3375.5,4125.0,375.0,18400.5,3750.5,25.6
2026-07-08,14217.2,3317.2,4125.0,375.0,18342.2,3692.2,25.2
2026-07-09,14410.7,3510.7,4125.0,375.0,18535.7,3885.7,26.52
2026-07-10,14439.6,3539.6,4125.0,375.0,18564.6,3914.6,26.72
2026-07-13,14459.6,3559.6,4125.0,375.0,18584.6,3934.6,26.86
2026-07-14,14448.3,3548.3,4125.0,375.0,18573.3,3923.3,26.78
2026-07-15,14440.2,3540.2,4125.0,375.0,18565.2,3915.2,26.72
2026-07-16,14396.5,3496.5,4125.0,375.0,18521.5,3871.5,26.43
2026-07-17,14203.7,3303.7,4125.0,375.0,18328.7,3678.7,25.11
2026-07-20,14283.2,3383.2,4125.0,375.0,18408.2,3758.2,25.65
2026-07-21,14379.1,3479.1,4125.0,375.0,18504.1,3854.1,26.31
2026-07-22,14417.4,3517.4,4125.0,375.0,18542.4,3892.4,26.57
2026-07-23,14205.7,3305.7,4125.0,375.0,18330.7,3680.7,25.12
2026-07-24,14252.9,3352.9,4125.0,375.0,18377.9,3727.9,25.45
2026-07-27,14124.0,3224.0,4125.0,375.0,18249.0,3599.0,24.57
2026-07-28,14128.1,3228.1,4125.0,375.0,18253.1,3603.1,24.59
2026-07-29,14053.8,3153.8,4125.0,375.0,18178.8,3528.8,24.09
2026-07-30,14053.8,3153.8,4125.0,375.0,18178.8,3528.8,24.09
2026-07-31,14130.8,3230.8,4125.0,375.0,18255.8,3605.8,24.61
2026-08-03,14357.2,3457.2,4125.0,375.0,18482.2,3832.2,26.16
2026-08-04,14550.1,3650.1,4125.0,375.0,18675.1,4025.1,27.48
2026-08-05,14573.1,3673.1,4125.0,375.0,18698.1,4048.1,27.63
2026-08-07,14598.5,3698.5,4125.0,375.0,18723.5,4073.5,27.81
2026-08-10,14630.7,3730.7,4125.0,375.0,18755.7,4105.7,28.03
2026-08-11,14633.2,3733.2,4125.0,375.0,18758.2,4108.2,28.04
2026-08-12,14616.8,3716.8,4125.0,375.0,18741.8,4091.8,27.93
2026-08-13,14694.1,3794.1,4125.0,375.0,18819.1,4169.1,28.46
2026-08-14,14630.2,3730.2,4125.0,375.0,18755.2,4105.2,28.02
2026-08-17,14635.0,3735.0,4125.0,375.0,18760.0,4110.0,28.05
2026-08-18,14478.4,3578.4,4125.0,375.0,18603.4,3953.4,26.99
2026-08-19,14448.3,3548.3,4125.0,375.0,18573.3,3923.3,26.78
2026-08-20,14336.7,3436.7,4125.0,375.0,18461.7,3811.7,26.02
2026-08-21,14372.9,3472.9,4125.0,375.0,18497.9,3847.9,26.27
2026-08-24,14297.4,3397.4,4125.0,375.0,18422.4,3772.4,25.75
2026-08-25,14313.6,3413.6,4125.0,375.0,18438.6,3788.6,25.86
2026-08-26,14324.7,3424.7,4125.0,375.0,18449.7,3799.7,25.94
2026-08-28,nan,nan,4125.0,375.0,nan,nan,nan
2026-08-29,nan,nan,4125.0,375.0,nan,nan,nan
2026-08-31,14381.4,3481.4,4125.0,375.0,18506.4,3856.4,26.32
2026-09-01,14378.3,3478.3,4125.0,375.0,18503.3,3853.3,26.3
2026-09-02,14383.4,3483.4,4125.0,375.0,18508.4,3858.4,26.34
2026-09-03,14463.5,3563.5,4125.0,375.0,18588.5,3938.5,26.88
